Epoch,Training Loss,Test Accuracy
1,0.020722557268045762,0.7310761789600967
2,0.020722557268045762,0.8428053204353083
3,0.020722557268045762,0.8536880290205562
4,0.020722557268045762,0.8814993954050786
5,0.020722557268045762,0.8909310761789601
6,0.020722557268045762,0.8802902055622733
7,0.020722557268045762,0.8894800483675938
8,0.020722557268045762,0.9134220072551391
9,0.020722557268045762,0.8773881499395405
10,0.020722557268045762,0.9226118500604595
11,0.020722557268045762,0.9223700120918984
12,0.020722557268045762,0.8853688029020557
13,0.020722557268045762,0.9267230955259976
14,0.020722557268045762,0.9240628778718258
15,0.020722557268045762,0.9288996372430471
16,0.020722557268045762,0.9146311970979444
17,0.020722557268045762,0.8817412333736396
18,0.020722557268045762,0.9035066505441355
19,0.020722557268045762,0.9267230955259976
20,0.020722557268045762,0.9296251511487303
21,0.020722557268045762,0.9349455864570737
22,0.020722557268045762,0.9407496977025392
23,0.020722557268045762,0.9298669891172914
24,0.020722557268045762,0.9143893591293834
25,0.020722557268045762,0.939782345828295
26,0.020722557268045762,0.9407496977025392
27,0.020722557268045762,0.9139056831922612
28,0.020722557268045762,0.9201934703748489
29,0.020722557268045762,0.939540507859734
30,0.020722557268045762,0.9412333736396614
