Epoch,Training Loss,Training Accuracy,Validation Accuracy
1,0.862926856687778,0.6481638076830152,0.8127567045179995
2,0.2984810145070052,0.8866876057018603,0.9077071756462913
3,0.15951431366045943,0.9416525730852863,0.9311427881130708
4,0.11211935619774807,0.9601352983812516,0.9316259966175404
5,0.08853520775192686,0.9684706450833535,0.9432230007248128
6,0.06363527515309535,0.978980430055569,0.9620681323991302
7,0.06215014350183144,0.9803696545059193,0.9540951920753805
8,0.049275701537487095,0.9839333172263832,0.9613433196424257
9,0.052061418966484925,0.9840541193525006,0.9304179753563663
10,0.033116502755288484,0.9884633969557864,0.9700410727228799
11,0.038330881072216834,0.987919787388258,0.9526455665619715
12,0.0439022030158445,0.9853829427397922,0.9591688813723122
13,0.027930025414634144,0.9911814447934284,0.9644841749214786
14,0.03537045967929186,0.9885841990819039,0.9681082387050012
15,0.03564847656058773,0.9890070065233149,0.9516791495530321
16,0.035560505771026193,0.9885841990819039,0.9553032133365548
17,0.02657022246315546,0.9916042522348393,0.9637593621647741
18,0.029893055527153066,0.9906982362889587,0.9601352983812516
19,0.026105489966818017,0.9917250543609567,0.9627929451558347
20,0.017662151011913534,0.9938994926310704,0.9681082387050012
21,0.025289752714468226,0.9917250543609567,0.9661754046871225
22,0.03236381824050251,0.9891882097124909,0.9620681323991302
23,0.03184156492543745,0.9894902150277844,0.9719739067407587
24,0.018522826228722818,0.9950471128291858,0.9743899492631071
25,0.01654254495577788,0.9945639043247161,0.9649673834259483
26,0.02186240104039918,0.9931746798743658,0.9637593621647741
27,0.032382009632551986,0.9891882097124909,0.9642425706692438
28,0.01798289404986469,0.9932954820004832,0.9661754046871225
29,0.016614015871291254,0.9951679149553032,0.9567528388499638
30,0.0342273617642125,0.9891278086494323,0.9560280260932592
